Reference	Year	Sample.ID	SiO2.liq	TiO2.liq	Al2O3.liq	FeOt.liq	MnO.liq	MgO.liq	CaO.liq	Na2O.liq	K2O.liq	Cr2O3.liq	P2O5.liq	H2O.liq	SiO2.cpx	TiO2.cpx	Al2O3.cpx	FeOt.cpx	MnO.cpx	MgO.cpx	CaO.cpx	Na2O.cpx	K2O.cpx	Cr2O3.cpx	P_GPa	T_K
"Grove, T.L., Elkins-Tanton, L.T., Parman, S.W., Chatterjee, N., Mntener, O., Gaetani, G.A. (2003)"	2003	B373	49.1	0.49	14.67	5.83	0.12	4.27	7.59	1.04	0.25	0.01		14.24	53.1	0.24	2.38	6.56	0.17	16.9	20.2	0.22		0.25	0.8	1338.15
"Grove, T.L., Elkins-Tanton, L.T., Parman, S.W., Chatterjee, N., Mntener, O., Gaetani, G.A. (2003)"	2003	B380	50.6	0.33	16.88	5.02	0.12	3.16	7.04	1.92	0.62	0.03		14.34	52.1	0.25	2.58	6.71	0.21	16.8	20.9	0.25		0.11	0.8	1318.15
"Grove, T.L., Gerlach, D.C., Sando, T.W. (1982)"	1982	187 3	57.4	1.55	14.7	9.97	0.18	4.71	8.28	2.32	1.09	0.01			55.2	0.31	1.08	14.1	0.38	25.3	4.25	0.07		0.13	0.000101325	1408.15
"Grove, T.L., Gerlach, D.C., Sando, T.W. (1982)"	1982	187 4	58	2	14.7	9.9	0.14	3.99	7.87	2.64	1.4	0.02			54.9	0.38	1.09	14.9	0.38	24.6	4.9	0.12		0.15	0.000101325	1396.15
"Grove, T.L., Gerlach, D.C., Sando, T.W. (1982)"	1982	187 5	57.3	2.75	13.5	10.7	0.24	4.06	7.33	2.59	1.8	0.01			52.8	0.6	1.54	16.5	0.32	21.8	4.6	0.41		0.05	0.000101325	1378.15
"Grove, T.L., Gerlach, D.C., Sando, T.W. (1982)"	1982	79-20e 12	57.2	2.71	13.1	13	0.2	3.11	6.97	2.11	1.48	0.05			53.2	0.43	1.07	19.3	0.5	22.1	3.89	0.07	0.02	0.05	0.000101325	1349.15
"Grove, T.L., Gerlach, D.C., Sando, T.W. (1982)"	1982	79-20e 2	55.5	2.22	13.5	11.5	0.19	3.97	7.54	2.93	1.16	0.03			53.9	0.35	1.25	17.1	0.44	22.8	4.56	0.25	0.03	0.04	0.000101325	1379.15
"Grove, T.L., Gerlach, D.C., Sando, T.W. (1982)"	1982	79-20e 8	55.1	2.36	12.6	13.4	0.16	3.46	7.42	2.47	1.33	0.02			53.3	0.42	0.81	18.8	0.4	21.4	4.5	0.06	0.03	0.12	0.000101325	1366.15
"Grove, T.L., Gerlach, D.C., Sando, T.W. (1982)"	1982	79-35g 13	51.5	1.18	14	12	0.22	7.34	12.1	1.56	0.16	0.05			52.7	0.7	3.14	8.15	0.23	15.3	21	0.26		0.29	0.000101325	1439.15
"Grove, T.L., Gerlach, D.C., Sando, T.W. (1982)"	1982	79-35g 2	50.7	1.83	13.3	12.5	0.21	7.06	11.5	1.47	0.11	0.01			50.1	0.72	2.57	8.95	0.24	14.8	20.5	0.35		0.17	0.000101325	1433.15
"Grove, T.L., Gerlach, D.C., Sando, T.W. (1982)"	1982	79-35g 4	50.5	2	13.9	13.1	0.2	6.61	11.7	1.35	0.14	0.09			52.1	0.54	2.29	8.15	0.25	16.5	20.1	0.2		0.27	0.000101325	1426.15
"Grove, T.L., Gerlach, D.C., Sando, T.W. (1982)"	1982	79-35g 5	49.4	3.02	12.2	15.5	0.18	6.51	11.2	1.18	0.12	0.04			52.4	0.55	2.52	10.1	0.21	17	16.3	0.21		0.29	0.000101325	1410.15
"Grove, T.L., Gerlach, D.C., Sando, T.W. (1982)"	1982	79-38b 7	56.9	2.08	13.7	11.4	0.1	3.54	7.11	2.31	1.8	0.1			53.3	0.34	0.96	17.7	0.38	22.7	4.84	0.07		0.08	0.000101325	1379.15
"Grove, T.L., Gerlach, D.C., Sando, T.W. (1982)"	1982	79-38b 8	58.7	2.56	13.3	10.9	0.07	2.43	5.98	1.97	2.64	0.08			52.9	0.49	0.97	18.6	0.37	21.8	4.37	0.08		0.1	0.000101325	1362.15
"Grove, T.L., Gerlach, D.C., Sando, T.W. (1982)"	1982	79-38b 9	61	2.74	13.3	9.19	0.05	2.56	5.9	1.42	2.24	0.07			53.3	0.59	0.95	21.3	0.4	20	4.88	0.09		0.09	0.000101325	1345.15
"Grove, T.L., Gerlach, D.C., Sando, T.W. (1982)"	1982	79-9c 8	64.1	1.99	13.4	9.33	0.15	1.53	4.44	1.53	2.11	0.01			51.4	0.5	0.86	24.5	0.54	18.2	3.43	0.07	0.06	0.06	0.000101325	1332.15
"Grove, T.L., Juster, T.C. (1989)"	1989	127	57.5	1.61	14	8.99	0.21	4.1	7.09	3.62	1.63	0.05	0.25		52.5	0.59	1.94	9.57	0.28	17.7	15.9	0.23		0.34	0.0001	1398.15
"Grove, T.L., Juster, T.C. (1989)"	1989	128	57.4	1.74	13.8	9.38	0.21	3.99	6.8	3.62	1.69	0.06	0.31		52.2	0.65	1.86	9.65	0.31	17.4	17.3	0.19		0.16	0.0001	1394.15
"Grove, T.L., Juster, T.C. (1989)"	1989	129	57.9	1.77	13.8	9.45	0.19	3.67	6.78	3.82	1.81	0.01	0.37		52.5	0.66	1.88	9.92	0.29	17.1	16.6	0.23		0.17	0.0001	1389.15
"Grove, T.L., Juster, T.C. (1989)"	1989	130	57.8	1.87	13.7	9.35	0.2	3.41	6.33	3.82	1.94	0.04	0.3		52.3	0.68	1.99	10.4	0.3	17.2	16.2	0.24		0.29	0.0001	1382.15
"Grove, T.L., Juster, T.C. (1989)"	1989	131	57.3	1.97	13.6	9.63	0.19	2.99	6.21	3.96	2.23	0.1	0.33		51.6	0.71	2.02	10.2	0.32	17	16.4	0.25		0.33	0.0001	1375.15
"Grove, T.L., Juster, T.C. (1989)"	1989	132	58	2.25	13.5	9.22	0.21	2.77	5.91	3.86	2.42	0.1	0.29		51.9	0.74	1.91	11.1	0.3	16.8	16.6	0.2		0.14	0.0001	1367.15
"Grove, T.L., Juster, T.C. (1989)"	1989	133	59.4	2.32	13.4	9.35	0.17	2.66	5.5	3.74	2.6		0.4		51.7	0.71	1.95	11.7	0.39	16.9	16.1	0.25		0.25	0.0001	1360.15
"Grove, T.L., Juster, T.C. (1989)"	1989	137	68.1	1.62	14.6	3.54		1.09	2.03	3.98	4.28		0.48		54.2	0.5	0.78	17.5	0.44	23	4.09	0.11			0.0001	1325.15
"Grove, T.L., Juster, T.C. (1989)"	1989	140	58.6	1.7	14.1	8.54	0.09	3.85	6.86	3.78	1.85		0.22		52.4	0.68	2.04	9.96	0.31	17.7	16.8	0.22		0.35	0.0001	1395.15
"Grove, T.L., Juster, T.C. (1989)"	1989	141	59.9	2.06	14.2	8.14	0.09	3.08	5.65	4.21	2.54		0.41		51.2	0.8	2.3	12.3	0.36	17.3	15.4	0.24		0.25	0.0001	1375.15
"Grove, T.L., Juster, T.C. (1989)"	1989	143	58.7	2.02	14.1	8.2	0.08	3.34	6.32	3.83	2.21		0.32		51.5	0.78	2.45	10.8	0.33	17.3	16.6	0.23		0.23	0.0001	1385.15
"Grove, T.L., Juster, T.C. (1989)"	1989	146	56.9	1.59	13.9	9.15	0.21	4.49	7.53	3.55	1.4	0.03	0.22		54.2	0.28	1.22	13.9	0.37	26.1	4.03	0.05		0.05	0.0001	1408.15
"Grove, T.L., Juster, T.C. (1989)"	1989	148	57.7	1.06	14.3	8.38	0.11	4.99	8.01	3.41	1.18	0.07	0.13		52	0.48	1.89	8.53	0.2	17.9	17.7	0.22		0.22	0.0001	1417.15
"Grove, T.L., Juster, T.C. (1989)"	1989	152	57.3	1.54	13.6	9.28	0.2	4.41	7.01	3.85	1.7		0.26		51.3	0.67	2.69	8.09	0.31	17.9	18.8	0.39		0.07	0.0001	1408.15
"Grove, T.L., Juster, T.C. (1989)"	1989	31	62.2	1.64	14.1	7.89	0.12	2.28	4.59	4.18	2.49	0.05	0.36		52.1	0.74	2.12	10.2	0.32	16.8	17.3	0.29		0.31	0.0001	1362.15
"Grove, T.L., Juster, T.C. (1989)"	1989	33	64.7	1.79	13.8	6.58	0.04	1.41	3.39	4.31	3.22	0.01	0.5		51.8	0.76	1.98	11.3	0.36	16.7	17.3	0.26		0.16	0.0001	1328.15
"Grove, T.L., Juster, T.C. (1989)"	1989	34	58	0.73	13.7	7.41	0.08	5.9	8.73	3.4	1.2	0.04	0.16		53.9	0.19	1.21	6.17	0.13	20.4	17.7	0.16		0.08	0.0001	1473.15
"Grove, T.L., Juster, T.C. (1989)"	1989	35	58.1	0.71	12.7	6.44	0.12	7.36	9.65	3.05	1.11		0.14		55.7	0.14	0.76	4.47	0.15	21.7	17.6	0.14		0.1	0.0001	1443.15
"Grove, T.L., Juster, T.C. (1989)"	1989	36	59	0.69	13.6	5.7	0.08	6.97	9.5	3.08	1.27	0.04	0.16		55.4	0.16	0.84	4.24	0.12	21.6	18.4	0.13		0.03	0.0001	1469.15
"Grove, T.L., Juster, T.C. (1989)"	1989	37	57.4	0.57	10.4	6.04	0.05	10.2	11.6	2.03	0.83	0.01	0.12		56	0.11	0.54	3.64	0.09	22.8	17.8	0.12		0.03	0.0001	1515.15
"Grove, T.L., Kinzler, R.J., Bryan, W.B. (1992)"	1992	ALV2-10	49.8	2.3	13.7	12	0.22	6.68	10.7	3.18	0.19		0.32		52	0.85	3.05	7.15	0.18	17	19.2	0.34		0.41	0.2	1421.15
"Grove, T.L., Kinzler, R.J., Bryan, W.B. (1992)"	1992	ALV2-5	49.8	2.35	13.6	12.2	0.25	6.7	10.5	3.23	0.19		0.32		52.2	0.87	3.05	7.48	0.22	17.3	18.2	0.37		0.28	0.2	1436.15
"Grove, T.L., Kinzler, R.J., Bryan, W.B. (1992)"	1992	ALV2-7	49.8	3.32	12.9	12.9	0.27	6.08	9.86	3.11	0.25		0.43		52.1	0.87	2.24	8.67	0.25	17.5	17.7	0.29		0.18	0.2	1418.15
"Grove, T.L., Kinzler, R.J., Bryan, W.B. (1992)"	1992	ALV2-8	50	2.47	13.7	11.7	0.19	6.6	10.5	3.36	0.22		0.36		52.8	0.73	2.47	7.21	0.19	17.9	18.6	0.33		0.31	0.2	1425.15
"Grove, T.L., Kinzler, R.J., Bryan, W.B. (1992)"	1992	ALV2-9	49	3.7	12.5	13.6	0.25	5.91	9.66	3.29	0.28		0.53		52.4	0.95	2.13	9.35	0.27	18	16.7	0.3		0.17	0.2	1399.15
"Grove, T.L., Kinzler, R.J., Bryan, W.B. (1992)"	1992	H137	48.6	1.59	17.2	10.2	0.15	8.52	10.2	3.19	0.16	0.06	0.16		51.1	0.68	7.26	6.2	0.16	19.4	15.3	0.49		0.24	1	1508.15
"Grove, T.L., Kinzler, R.J., Bryan, W.B. (1992)"	1992	H258	48.7	1.21	17.2	8.99	0.25	8.1	10	3.84	0.13		0.13		51.5	0.81	6.89	6.14	0.17	18.3	16.1	0.56		0.21	1	1523.15
"Grove, T.L., Kinzler, R.J., Bryan, W.B. (1992)"	1992	H32	49.2	1.02	15.6	11.1	0.27	8.32	11.6	2.28	0.14	0.11	0.16		51.9	0.53	5.56	6.19	0.08	18.5	17.2	0.3		0.37	0.8	1508.15
"Grove, T.L., Kinzler, R.J., Bryan, W.B. (1992)"	1992	H35	48.9	1.72	15.4	11.9	0.22	7.88	10.4	3.12	0.16	0.08	0.26		52	0.92	4.4	6.49		18.1	18.1	0.35		0.2	0.8	1498.15
"Grove, T.L., Kinzler, R.J., Bryan, W.B. (1992)"	1992	H38	48.9	2.8	14.5	11.6	0.3	7.9	10.2	3.39	0.27	0.08	0.37		52.6	0.92	3.63	7.25	0.08	17.7	18.2	0.35		0.23	0.8	1498.15
"Grove, T.L., Kinzler, R.J., Bryan, W.B. (1992)"	1992	H50	49.1	1.82	15.6	11.2	0.19	7.64	9.77	3.57	0.14	0.03	0.12		52.1	0.8	4.28	7.88	0.21	19.2	14.8	0.44		0.17	0.8	1503.15
"Grove, T.L., Kinzler, R.J., Bryan, W.B. (1992)"	1992	H51	50.2	1.4	15.8	9.48	0.14	8.01	10.6	3.13	0.12	0.05	0.15		51	0.69	5.83	6.04	0.17	18.3	16.1	0.41		0.36	0.8	1513.15
"Grove, T.L., Kinzler, R.J., Bryan, W.B. (1992)"	1992	H57	49.3	0.89	15.9	10.1	0.15	8.46	11.9	2.23	0.12	0.08			51.9	0.37	5.33	6.19	0.13	19.2	16.2	0.27		0.44	0.8	1523.15
"Grove, T.L., Kinzler, R.J., Bryan, W.B. (1992)"	1992	H58	49	3.06	14	14.1	0.23	6.47	9.58	3.22	0.26	0.06	0.4		51.9	1.02	3.35	7.98	0.16	16.8	18	0.34		0.2	0.8	1483.15
"Grove, T.L., Kinzler, R.J., Bryan, W.B. (1992)"	1992	H59	49.2	1.11	16	8.63	0.5	9.5	11.8	2.61	0.08	0.11	0.08		51.4	0.5	6.03	4.78	0.09	18.7	17.7	0.1		0.55	0.8	1513.15
"Grove, T.L., Kinzler, R.J., Bryan, W.B. (1992)"	1992	H60	48.7	1.9	15.3	11.5	0.09	7.27	9.62	3.61	0.15	0.08	0.13		52	0.69	4.04	7.34	0.17	18.7	15.9	0.43		0.21	0.8	1488.15
"Grove, T.L., Kinzler, R.J., Bryan, W.B. (1992)"	1992	H62	49	0.9	16.3	9.79	0.13	9.12	11.5	2.33	0.11	0.11	0.06		51.4	0.55	5.47	5.76	0.21	18.2	17.4	0.32		0.28	0.8	1538.15
"Hesse, M., Grove, T.L. (2003)"	2003	B833	47.7	1.06	16.71	7.09	0.1	8.03	8.34	3.95	1.45	0.03	0.43		52	0.47	6.43	5.47	0.02	18.21	16.95	0.84		0.03	1.4	1493.15
"Hesse, M., Grove, T.L. (2003)"	2003	D81	47.9	1.09	16.02	7.98	0.08	10.02	9.06	3.74	1.4		0.3		52.9	0.28	7.48	5.72	0.05	20.11	12.89	1.05			2	1633.15
"Hesse, M., Grove, T.L. (2003)"	2003	D82	47.4	1.17	16.86	8.16	0.1	8.59	8.21	4.12	1.57		0.35		51.6	0.6	9.9	6.65	0.13	17.4	13.33	1.46			2	1613.15
"Hesse, M., Grove, T.L. (2003)"	2003	D84	48.9	1.14	16.73	7.73	0.15	8.82	8.66	4.07	1.54		0.5		51.7	0.36	8.77	6.35	0.11	18.99	13.09	1.12			2	1653.15
"Hesse, M., Grove, T.L. (2003)"	2003	D89	48.4	0.98	15.71	8.1	0.07	10.4	9.63	3.63	1.49		0.38	2.8	52.7	0.33	6.47	6.01	0.12	21.08	12.91	0.81			1.6	1653.15
"Hesse, M., Grove, T.L. (2003)"	2003	D92	47.7	1.1	16.55	7.98	0.15	8.97	9.05	4.05	1.52		0.47		52.6	0.46	7.81	6.15	0.11	19.4	14.2	0.91			1.6	1613.15
"Hirschmann, M.M., Kogiso, T., Baker, M.B., and Stolper, E.M. (2003)"	2003	95MMH15	43.1	2.58	14.2	13.6	0.15	12.5	10.2	3.72	0.08		0.06		50.8	0.51	10.5	5.4	0.1	16.7	14.7	1.2	0.01		2.5	1728.15
"Hirschmann, M.M., Kogiso, T., Baker, M.B., and Stolper, E.M. (2003)"	2003	95MMH17	42.7	1.87	14.54	12	0.17	13.54	10.3	3.04	0.09		0.04		50	0.51	10.7	5.3	0.1	17.2	14.6	1.15	0.01		2.5	1748.15
"Hirschmann, M.M., Kogiso, T., Baker, M.B., and Stolper, E.M. (2003)"	2003	95MMH23	45.2	1.3	15.2	9.1	0.17	15	11.2	1.91	0.05	0.05	0.02		51.2	0.28	9.8	3.9	0.11	18.9	15.1	0.8	0.03	0.16	2.5	1773.15
"Hirschmann, M.M., Kogiso, T., Baker, M.B., and Stolper, E.M. (2003)"	2003	96MMH05	45.1	2	16.2	10.9	0.16	11.1	9.98	2.6	0.08	0.03	0.05		51.1	0.5	10.3	6.1	0.14	18.2	13.4	0.86	0.02	0.08	2	1673.15
"Hirschmann, M.M., Kogiso, T., Baker, M.B., and Stolper, E.M. (2003)"	2003	96MMH07	44.4	2.3	16.4	12.81	0.1	10.6	9.3	3.78	0.12		0.03		50.2	0.72	10.4	6.4	0.13	17.2	13.7	1.19	0.02	0.09	2	1648.15
"Holbig, E. S., Grove, T.L. (2007)"	2007	C271	47	1.23	15.1	9.84	0.17	10.3	7.56	3.19	3.78	0.07	1.52		52.6	0.3	7.26	6.15	0.17	19.4	13.3	1.04		0.51	2.4	1673.15
"Holbig, E. S., Grove, T.L. (2007)"	2007	C272	47.7	0.94	15.3	8.75	0.17	12.4	9.03	2.47	2.16	0.12	0.96		52.6	0.2	7.33	5.19	0.18	21.9	11.6	0.77		0.84	2.4	1713.15
"Holbig, E. S., Grove, T.L. (2007)"	2007	C274	46.5	1.13	14.5	8.51	0.2	13.6	9.39	2.37	1.95	0.1	1.03		53.3	0.2	6.82	4.99	0.18	21.2	12.6	0.96		0.63	2.6	1713.15
"Holbig, E. S., Grove, T.L. (2007)"	2007	C276	47.6	0.89	15.7	7.29	0.16	10.6	8.43	2.66	3.24	0.09	1.14	3.19	52.1	0.22	7.54	4.6	0.18	20.9	12.9	0.91		0.54	2.4	1693.15
"Holbig, E. S., Grove, T.L. (2007)"	2007	C277	45.3	1.31	14.9	9.35	0.18	10.7	7.58	4.1	4.12	0.05	1.65		51.7	0.35	8.05	5.13	0.14	18.4	14.5	1.3		0.42	2.6	1673.15
"Holbig, E. S., Grove, T.L. (2007)"	2007	C278	46.3	1.01	16.3	8.98	0.19	11.2	8.35	2.77	2.78	0.1	0.97		51.2	0.31	8.4	5.79	0.18	20	13	0.84		0.61	2.2	1673.15
"Holbig, E. S., Grove, T.L. (2007)"	2007	C282	45.3	1.18	15.9	8	0.16	11.64	8.14	3.42	3.4	0.09	1.36	2.95	52.2	0.27	7.71	4.82	0.16	20	13.8	1.01		0.62	2.4	1683.15
"Holbig, E. S., Grove, T.L. (2007)"	2007	C283	45.7	0.92	15.7	8.21	0.18	12.5	9.1	2.42	2.48	0.11	1.01	2.98	52.1	0.2	7.74	4.97	0.18	21.1	12.6	0.73		0.93	2.2	1683.15
"Holbig, E. S., Grove, T.L. (2007)"	2007	C284	45.2	1.11	14.3	8.08	0.18	11.7	8.39	3.82	2.93	0.12	1.22	3.9	52.8	0.23	7.23	4.83	0.17	20.4	13.6	0.96		0.62	2.6	1703.15
"Holbig, E. S., Grove, T.L. (2007)"	2007	C285	45.3	1.06	14.5	9.46	0.18	12.1	8.34	2.91	3.33	0.07	1.28	2.32	52.4	0.27	7.28	5.08	0.16	19.5	14.3	1.09		0.58	2.6	1708.15
"Holbig, E. S., Grove, T.L. (2007)"	2007	C286	45.6	0.96	15.1	8.94	0.17	12.4	8.93	2.7	2.64	0.11	1.22	2.11	52.3	0.25	7.65	5.04	0.17	20	13.8	0.9		0.9	2.4	1688.15
"Johnson, K.T.M. (1998)"	1998	E10	51.4	2.7	14.5	10.6	0.21	5.69	9.03	2.55	0.45				50.6	0.85	9.84	6.82	0.17	13.6	15.9	1.55	0.01		2.5	1636.15
"Johnson, K.T.M. (1998)"	1998	E11	48.5	2.5	13.29	9.67	0.14	6.88	8.5	2.62	0.43				48.9	0.79	9.03	6.15	0.15	14.9	16	1.64	0.01		2.5	1664.15
"Johnson, K.T.M. (1998)"	1998	E12	50.8	2.49	14.17	10.2	0.15	6.21	10	2.43	0.41				50.8	0.7	9.01	6.46	0.15	14.4	17.2	1.51			2.5	1608.15
"Johnson, K.T.M. (1998)"	1998	E4	54.4	2.87	16	9.6	0.16	5.37	8.5	2.71	0.55				50.3	1.01	8.76	7.5	0.16	13.9	16.7	1.12	0.01		2	1598.15
"Johnson, K.T.M. (1998)"	1998	E5	50.1	2.53	14.2	9.79	0.17	6.63	10.4	2.38	0.43				50.9	0.88	7.89	6.28	0.15	14.9	17.5	1	0.02		2	1623.15
"Johnson, K.T.M. (1998)"	1998	E7	50.1	2.65	14.3	10.5	0.22	5.72	9.36	2.61	0.52				49.4	0.84	9.36	6.84	0.15	14.2	16.5	1.43	0.01		2.5	1636.15
"Johnson, K.T.M. (1998)"	1998	E8	51.6	2.58	14.4	10.1	0.16	5.79	10.1	2.25	0.46				51.6	0.78	9.68	6.33	0.14	13.6	16	1.48	0.01		2.5	1664.15
"Johnson, K.T.M. (1998)"	1998	E9	51	2.96	14.6	10.4	0.15	5.1	8.66	2.69	0.49				50	0.81	10.6	7.76	0.18	13.2	15.5	1.77	0.01		2.5	1636.15
"Johnson, K.T.M. (1998)"	1998	RH30-1	51.4	3.07	14.4	10.2	0.14	5.21	9.24	2.48	0.57				50.2	0.91	11.5	7.46	0.2	12.2	15.1	2.04	0.02		3	1703.15
"Johnson, K.T.M. (1998)"	1998	Z20-1	51.1	2.5	14	9.96	0.12	6.76	10.5	2.39	0.44				51.3	0.76	7.11	6.4	0.15	15.9	16.9	1.01	0.02		2	1613.15
"Johnson, K.T.M. (1998)"	1998	Z20-2	50.6	2.69	14.6	10	0.16	5.55	9.68	2.68	0.52				50.7	1.02	7.92	7.27	0.2	15	16	0.96	0.02		2	1598.15
"Johnson, K.T.M. (1998)"	1998	Z25-1	52.6	3.02	15.3	10.2	0.16	4.25	8.65	2.81	0.65				49.5	1.05	10.8	8.36	0.21	12.5	15.5	1.63	0.01		2.5	1613.15
"Johnson, K.T.M. (1998)"	1998	Z25-2	51.1	2.74	14.5	10.4	0.15	5.98	9.77	2.73	0.51				50.8	0.81	9.26	6.81	0.16	13.9	16.2	1.37	0.01		2.5	1663.15
"Johnson, K.T.M. (1998)"	1998	Z30-1	52.6	2.42	14.1	9.71	0.2	6.81	11	2.26	0.46				52.2	0.73	10.4	5.65	0.12	13.6	16.11	1.73	0.02		3	1743.15
"Johnston, A.D. (1986)"	1986	393	53.2	0.8	18.99	9.36	0.14	5.22	10.06	2.1	0.38				49.3	0.61	12.21	7.57	0.21	14.12	16.09	0.83	0.03		2	1598.15
"Johnston, A.D. (1986)"	1986	396	50.7	0.51	19.22	8.43	0.52	5.88	10.49	1.99	0.33				47.6	0.52	12.99	5.95	0.22	14.02	16.65	0.84	0.01		2	1623.15
"Johnston, A.D. (1986)"	1986	404	57.1	0.66	18.07	7.56	0.13	3.49	10.01	2.28	0.43				48.8	0.29	17.13	6.5	0.17	10.07	16.48	1.69	0.01		3	1723.15
"Johnston, A.D. (1986)"	1986	407	59.6	1.01	17.67	6.25	0.07	2.24	8.78	2.82	0.87				48.9	0.37	16.58	7.74	0.17	9.68	15.07	1.81	0.01		3	1673.15
"Johnston, A.D. (1986)"	1986	408	50.9	0.68	18.75	8.36	0.14	5.35	9.97	1.84	0.34				48.7	0.48	12.62	6.36	0.17	12.59	16.19	0.99	0.02		2.45	1648.15
"Johnston, A.D. (1986)"	1986	409	56.7	0.67	17.2	6.42	0.09	3.47	9.34	3.08	0.63				50.1	0.56	12.03	7.98	0.13	12.3	17.41	1.34	0.01		2.3	1548.15
"Johnston, A.D. (1986)"	1986	425	51.7	1.7	16.71	10.9	0.12	8.34	8.58	2.22	0.09				48	1.48	15.22	9.82	0.06	9.37	9.97	2.06	0.07		2.6	1706.15
"Johnston, A.D. (1986)"	1986	428	51.8	0.66	19.35	9.21	0.18	5.18	9.82	1.81	0.33				47.1	0.35	15	6.9	0.19	12.65	16.38	0.93	0.01		2.25	1598.15
"Johnston, A.D. (1986)"	1986	429	52	1.57	17.7	10.1	0.15	6.84	10.38	2.35	0.27				49.7	0.97	13.51	6.5	0.17	12.49	16.16	1.69	0.01		2.7	1728.15
"Johnston, A.D. (1986)"	1986	435	52.5	0.72	18.77	7.74	0.16	4.94	9.9	1.72	0.34				47	0.26	16.29	6.09	0.13	12.11	15.47	1.21	0.02		2.7	1683.15
"Juster, C.T., Grove, T.L., Perfit, M.R. (1989)"	1989	A-10	51.1	2.3	12.2	15.1		5.21	9.9	2.41	0.16				51.2	0.69	2.75	11.3		16.6	17.5	0.1			0.0001	1395.15
"Juster, C.T., Grove, T.L., Perfit, M.R. (1989)"	1989	A-12	51.6	3.01	11.6	15.6		4.56	9.42	2.44	0.15				52.1	0.82	1.73	13.3		16.3	16.2	0.13			0.0001	1389.15
"Juster, C.T., Grove, T.L., Perfit, M.R. (1989)"	1989	A-14	50.3	3.82	10.7	17.8		3.77	9.16	2.35	0.2				51.5	0.85	1.57	14.4		15.3	16	0.15			0.0001	1373.15
"Juster, C.T., Grove, T.L., Perfit, M.R. (1989)"	1989	A-18	51.9	2.11	12.8	13.3		6.03	10.4	2.29	0.1				53	0.67	1.74	18.2		16.9	10.1	0.12			0.0001	1416.15
"Juster, C.T., Grove, T.L., Perfit, M.R. (1989)"	1989	A-23	51	2.26	12.2	14.7		5.95	9.93	2.26	0.14				52.4	0.56	2.08	10.2		18.1	17.4	0.13			0.0001	1408.15
"Juster, C.T., Grove, T.L., Perfit, M.R. (1989)"	1989	A-25	51.6	2.46	12	15.6		5.7	9.78	2.3	0.1				51.6	0.67	2.64	10.3		16.8	17.9	0.17			0.0001	1398.15
"Juster, C.T., Grove, T.L., Perfit, M.R. (1989)"	1989	A-27	54.2	2.71	11.8	14.2		4.74	9.01	2.5	0.15				51.9	0.67	2.18	11.2		17.4	17.7	0.2			0.0001	1388.15
"Juster, C.T., Grove, T.L., Perfit, M.R. (1989)"	1989	A-6	51.6	2.14	12.6	13.6		6.13	10.4	2.12	0.13				52.7	0.65	1.83	10		17.6	17.4	0.16			0.0001	1407.15
"Juster, C.T., Grove, T.L., Perfit, M.R. (1989)"	1989	A-8	51.9	2.44	12.4	14.6		5.23	9.89	2.42	0.12				52.3	0.36	1.86	11.5		17.4	15.7	0.16			0.0001	1401.15
"Juster, C.T., Grove, T.L., Perfit, M.R. (1989)"	1989	C-13	49.4	4.55	11.3	15.9		5	9.64	2.4	0.23				52.1	0.81	1.47	13.9		17.8	13.4	0.12			0.0001	1389.15
"Juster, C.T., Grove, T.L., Perfit, M.R. (1989)"	1989	C-2	52	2.23	12.9	12.5		6.3	10.6	2.17	0.1				53.4	0.55	1.6	9.05		18.7	16.9	0.1			0.0001	1422.15
"Juster, C.T., Grove, T.L., Perfit, M.R. (1989)"	1989	C-30	49.2	4.95	11	17.7		4.79	9.47	2.25	0.16				51.3	1.05	2.39	13		16.7	16.2	0.16			0.0001	1373.15
"Juster, C.T., Grove, T.L., Perfit, M.R. (1989)"	1989	C-4	51.4	2.3	12.5	13.5		6.03	9.94	2.25	0.07				52.3	0.38	1.77	9.63		17.8	17.3	0.17			0.0001	1416.15
"Juster, C.T., Grove, T.L., Perfit, M.R. (1989)"	1989	C-7	51	2.78	12.3	14		5.63	10	2.53	0.13				51.9	0.71	3.03	9.74		17.5	17.3	0.19			0.0001	1407.15
"Juster, C.T., Grove, T.L., Perfit, M.R. (1989)"	1989	C-9	50	3.62	11.7	15.2		5.26	9.91	2.47	0.15				51.6	0.69	2.31	10.5		17.1	17.2	0.16			0.0001	1401.15
"Juster, C.T., Grove, T.L., Perfit, M.R. (1989)"	1989	C-ll	49.9	3.61	11.8	15.2		5.2	9.67	2.53	0.15				53.5	0.5	0.83	17.3		22.9	5.07	0.05			0.0001	1395.15
"Kawamoto, T. (1996)"	1996	1	49.5	1.19	17.4	10.53		7.36	10.2	2.28	0.26		0.12	26.2	50.5	0.8	5.7	9		15.6	17.7	0.5			0.5	1398.15
"Kawamoto, T. (1996)"	1996	15	50.2	1.06	17.9	9.45		7.03	10.3	2.39	0.27		0.24	3.4	50.9	0.5	5.8	6.7		16.1	19.2	0.5			0.5	1373.15
"Kawamoto, T. (1996)"	1996	17	54.2	1.22	19.1	6.42		5.7	8.97	3.08	0.36		0.26	4.8	52	0.1	4.1	4.4		16.7	22.5	0.3			0.5	1323.15
